2023-03-26T03:29:41.885651303Z {"level":"info","time":"2023-03-26T03:29:41.885609Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T03:58:12.983798475Z {"level":"info","time":"2023-03-26T03:58:12.983751Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T04:27:07.846699865Z {"level":"info","time":"2023-03-26T04:27:07.846652Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T04:55:17.273800286Z {"level":"info","time":"2023-03-26T04:55:17.273756Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T05:23:03.343858350Z {"level":"info","time":"2023-03-26T05:23:03.343810Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T05:28:24.183425395Z {"level":"info","time":"2023-03-26T05:28:24.183378Z","scope":"ads","msg":"XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:"}
2023-03-26T05:28:24.312119702Z {"level":"info","time":"2023-03-26T05:28:24.312073Z","scope":"cache","msg":"generated new workload certificate","latency":128573490,"ttl":86399687931907}
2023-03-26T05:28:24.312155516Z {"level":"info","time":"2023-03-26T05:28:24.312144Z","scope":"ads","msg":"SDS: PUSH for node:istio-egressgateway-74b6d5dd78-2tnlx.istio-system resources:1 size:4.0kB resource:default"}
2023-03-26T05:51:26.775787563Z {"level":"info","time":"2023-03-26T05:51:26.775716Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T06:23:45.473534225Z {"level":"info","time":"2023-03-26T06:23:45.473487Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T06:56:06.852215644Z {"level":"info","time":"2023-03-26T06:56:06.852168Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T07:29:04.441049594Z {"level":"info","time":"2023-03-26T07:29:04.441007Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T07:57:13.943201829Z {"level":"info","time":"2023-03-26T07:57:13.943157Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-26T08:19:04.679263077Z {"level":"info","time":"2023-03-26T08:19:04.679221Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
